04-01-2026 10.30,89.67332458,-54.61333466
04-01-2026 10.30,88.28666687,-54.61333466
04-01-2026 10.30,88.54666138,-54.61333466
04-01-2026 10.30,89.32666016,-54.61333466
04-01-2026 10.30,88.11332703,-54.61333466
04-01-2026 10.30,89.19667053,-54.61333466
04-01-2026 10.30,87.9833374,-54.61333466
04-01-2026 10.30,88.15666199,-54.61333466
04-01-2026 10.31,88.89332581,-54.61333466
04-01-2026 10.31,87.67999268,-54.61333466
04-01-2026 10.31,88.72000122,-54.61333466
04-01-2026 10.31,87.46333313,-54.61333466
04-01-2026 10.31,87.37666321,-54.61333466
04-01-2026 10.31,87.63667297,-54.61333466
04-01-2026 10.31,87.7666626,-54.61333466
04-01-2026 10.31,87.50666809,-54.61333466
04-01-2026 10.31,88.50332642,-54.61333466
04-01-2026 10.31,87.41999817,-54.61333466
04-01-2026 10.31,88.28666687,-54.61333466
04-01-2026 10.31,88.19999695,-54.61333466
04-01-2026 10.32,87.02999878,-54.61333466
04-01-2026 10.32,86.8999939,-54.61333466
04-01-2026 10.32,87.89666748,-54.61333466
04-01-2026 10.32,87.89666748,-54.61333466
04-01-2026 10.32,86.85665894,-54.61333466
04-01-2026 10.32,86.55332947,-54.61333466
04-01-2026 10.32,87.24665833,-54.61333466
04-01-2026 10.32,86.63999939,-54.61333466
04-01-2026 10.32,87.24665833,-54.61333466
04-01-2026 10.32,86.38000488,-54.61333466
04-01-2026 10.32,86.33666992,-54.61333466
04-01-2026 10.32,86.68333435,-54.61333466
04-01-2026 10.33,86.81333923,-54.61333466
04-01-2026 10.33,85.90333557,-54.61333466
04-01-2026 10.33,85.86000061,-54.61333466
04-01-2026 10.33,85.90333557,-54.61333466
04-01-2026 10.33,86.59666443,-54.61333466
04-01-2026 10.33,86.20666504,-54.61333466
04-01-2026 10.33,86.33666992,-54.61333466
04-01-2026 10.33,85.68666077,-54.61333466
04-01-2026 10.33,85.51333618,-54.61333466
04-01-2026 10.33,85.3833313,-54.61333466
04-01-2026 10.33,85.47000122,-54.61333466
04-01-2026 10.33,85.77333069,-54.61333466
04-01-2026 10.34,85.20999146,-54.61333466
04-01-2026 10.34,85.72999573,-54.61333466
04-01-2026 10.34,85.12333679,-54.61333466
04-01-2026 10.34,84.90666199,-54.61333466
04-01-2026 10.34,85.16667175,-54.61333466
04-01-2026 10.34,85.08000183,-54.61333466
04-01-2026 10.34,85.33999634,-54.61333466
04-01-2026 10.34,85.33999634,-54.61333466
04-01-2026 10.34,84.12666321,-54.61333466
04-01-2026 10.34,84.08332825,-54.61333466
04-01-2026 10.34,85.29666138,-54.61333466
04-01-2026 10.34,84.12666321,-54.61333466
04-01-2026 10.35,84.38667297,-54.61333466
04-01-2026 10.35,85.16667175,-54.61333466
04-01-2026 10.35,83.77999878,-54.61333466
04-01-2026 10.35,83.69332886,-54.61333466
04-01-2026 10.35,84.7333374,-54.61333466
04-01-2026 10.35,84.7333374,-54.61333466
04-01-2026 10.35,83.52000427,-54.61333466
04-01-2026 10.35,83.60665894,-54.61333466
04-01-2026 10.35,84.60333252,-54.61333466
04-01-2026 10.35,83.91000366,-54.61333466
04-01-2026 10.35,83.17332458,-54.61333466
04-01-2026 10.35,83.77999878,-54.61333466
04-01-2026 10.36,83.82333374,-54.61333466
04-01-2026 10.36,83.99665833,-54.61333466
04-01-2026 10.36,83.91000366,-54.61333466
04-01-2026 10.36,83.25999451,-54.61333466
04-01-2026 10.36,82.65333557,-54.61333466
04-01-2026 10.36,83.95333862,-54.61333466
04-01-2026 10.36,83.77999878,-54.61333466
04-01-2026 10.36,82.47999573,-54.61333466
04-01-2026 10.36,83.60665894,-54.61333466
04-01-2026 10.36,82.65333557,-54.61333466
04-01-2026 10.36,82.26333618,-54.61333466
04-01-2026 10.36,82.22000122,-54.61333466
04-01-2026 10.37,82.00332642,-54.61333466
04-01-2026 10.37,83.08666992,-54.61333466
04-01-2026 10.37,81.91667175,-54.61333466
04-01-2026 10.37,82.47999573,-54.61333466
04-01-2026 10.37,82.30667114,-54.61333466
04-01-2026 10.37,82.91333008,-54.61333466
04-01-2026 10.37,81.56999207,-54.61333466
04-01-2026 10.37,81.65666199,-54.61333466
04-01-2026 10.37,81.69999695,-54.61333466
04-01-2026 10.37,81.4833374,-54.61333466
04-01-2026 10.37,82.22000122,-54.61333466
04-01-2026 10.37,81.95999146,-54.61333466
04-01-2026 10.38,82.43666077,-54.61333466
04-01-2026 10.38,82.26333618,-54.61333466
04-01-2026 10.38,81.35333252,-54.61333466
04-01-2026 10.38,81.44000244,-54.61333466
04-01-2026 10.38,80.74665833,-54.61333466
04-01-2026 10.38,81.91667175,-54.61333466
04-01-2026 10.38,81.83000183,-54.61333466
04-01-2026 10.38,81.13667297,-54.61333466
04-01-2026 10.38,81.22332764,-54.61333466
04-01-2026 10.38,80.48666382,-54.61333466
04-01-2026 10.38,81.61332703,-54.61333466
04-01-2026 10.38,80.66000366,-54.61333466
04-01-2026 10.39,80.31333923,-54.61333466
04-01-2026 10.39,80.09666443,-54.61333466
04-01-2026 10.39,80.6166687,-54.61333466
04-01-2026 10.39,81.30999756,-54.61333466
04-01-2026 10.39,81.05000305,-54.61333466
04-01-2026 10.39,80.57333374,-54.61333466
04-01-2026 10.39,81.00666809,-54.61333466
04-01-2026 10.39,79.75,-54.61333466
04-01-2026 10.39,80.74665833,-54.61333466
04-01-2026 10.39,80.09666443,-54.61333466
04-01-2026 10.39,80.74665833,-54.61333466
04-01-2026 10.39,80.09666443,-54.61333466
04-01-2026 10.40,79.36000061,-54.61333466
04-01-2026 10.40,79.66333008,-54.61333466
04-01-2026 10.40,80.3999939,-54.61333466
04-01-2026 10.40,79.18666077,-54.61333466
04-01-2026 10.40,80.31333923,-54.61333466
04-01-2026 10.40,79.36000061,-54.61333466
04-01-2026 10.40,79.36000061,-54.61333466
04-01-2026 10.40,79.22999573,-54.61333466
04-01-2026 10.40,80.00999451,-54.61333466
04-01-2026 10.40,79.01333618,-54.61333466
04-01-2026 10.40,79.83666992,-54.61333466
04-01-2026 10.40,78.75332642,-54.61333466
04-01-2026 10.41,79.18666077,-54.61333466
04-01-2026 10.41,79.40333557,-54.61333466
04-01-2026 10.41,79.05667114,-54.61333466
04-01-2026 10.41,79.49000549,-54.61333466
04-01-2026 10.41,78.75332642,-54.61333466
04-01-2026 10.41,78.83999634,-54.61333466
04-01-2026 10.41,79.40333557,-54.61333466
04-01-2026 10.41,78.19000244,-54.61333466
04-01-2026 10.41,78.62333679,-54.61333466
04-01-2026 10.41,79.01333618,-54.61333466
04-01-2026 10.41,77.92999268,-54.61333466
04-01-2026 10.41,78.75332642,-54.61333466
04-01-2026 10.42,78.66667175,-54.61333466
04-01-2026 10.42,77.75666809,-54.61333466
04-01-2026 10.42,78.62333679,-54.61333466
04-01-2026 10.42,78.58000183,-54.61333466
04-01-2026 10.42,77.41000366,-54.61333466
04-01-2026 10.42,77.92999268,-54.61333466
04-01-2026 10.42,78.36332703,-54.61333466
04-01-2026 10.42,77.27999878,-54.61333466
04-01-2026 10.42,77.19332886,-54.61333466
